Date,Substation,Load (MW),Load_Time,Max_Voltage (kV),Max_Voltage_Time,Min_Voltage (kV),Min_Voltage_Time,Year,Month,Day,DayOfYear,DayOfWeek,Is_Irrigation,Is_Weekend
2018-03-30,Panchagarh,39.0,19:30,124.0,04:00,113.0,09:00,2018,3,30,89,4,1,1
2018-03-31,Panchagarh,29.0,19:30,137.0,14:00,116.0,20:00,2018,3,31,90,5,1,1
2018-04-01,Panchagarh,30.0,19:30,135.0,06:00,98.0,19:30,2018,4,1,91,6,1,0
2018-04-02,Panchagarh,35.0,19:00,122.0,18:00,110.0,07:00,2018,4,2,92,0,1,0
2018-04-04,Panchagarh,36.0,19:00,125.0,06:00,100.0,20:00,2018,4,4,94,2,1,0
2018-04-05,Panchagarh,38.0,20:00,120.0,03:00,108.0,12:00,2018,4,5,95,3,1,0
2018-04-06,Panchagarh,37.0,19:00,130.0,13:00,109.0,09:00,2018,4,6,96,4,1,1
2018-04-07,Panchagarh,39.0,19:30,125.0,05:00,107.0,19:00,2018,4,7,97,5,1,1
2018-04-08,Panchagarh,35.0,21:00,122.0,05:00,110.0,01:00,2018,4,8,98,6,1,0
2018-04-09,Panchagarh,40.0,19:30,135.0,14:00,112.0,19:30,2018,4,9,99,0,1,0
2018-04-10,Panchagarh,36.0,19:00,135.0,05:00,111.0,19:00,2018,4,10,100,1,1,0
2018-04-11,Panchagarh,35.0,18:30,133.0,05:00,113.0,19:30,2018,4,11,101,2,1,0
2018-04-12,Panchagarh,34.0,19:30,133.0,05:00,115.0,20:00,2018,4,12,102,3,1,0
2018-04-13,Panchagarh,31.0,20:00,137.0,06:00,118.0,20:00,2018,4,13,103,4,1,1
2018-04-14,Panchagarh,26.0,19:00,133.0,04:00,115.0,19:00,2018,4,14,104,5,1,1
2018-04-15,Panchagarh,31.0,20:00,127.0,03:00,116.0,20:00,2018,4,15,105,6,1,0
2018-04-16,Panchagarh,33.0,19:00,126.0,04:00,105.0,19:30,2018,4,16,106,0,1,0
2018-04-17,Panchagarh,35.0,21:00,124.0,05:00,105.0,20:00,2018,4,17,107,1,1,0
2018-04-18,Panchagarh,29.0,18:30,133.0,09:00,119.0,07:00,2018,4,18,108,2,1,0
2018-04-19,Panchagarh,37.0,20:00,129.0,04:00,109.0,19:00,2018,4,19,109,3,1,0
2018-04-20,Panchagarh,36.0,20:00,127.0,05:00,115.0,19:00,2018,4,20,110,4,1,1
2018-04-21,Panchagarh,35.0,20:00,132.0,05:00,113.0,19:30,2018,4,21,111,5,1,1
2018-04-22,Panchagarh,37.0,19:00,126.0,10:00,105.0,20:00,2018,4,22,112,6,1,0
2018-04-23,Panchagarh,37.0,19:00,130.0,04:00,108.0,20:00,2018,4,23,113,0,1,0
2018-04-24,Panchagarh,35.0,19:00,124.0,03:00,104.0,19:00,2018,4,24,114,1,1,0
2018-04-25,Panchagarh,39.0,19:00,123.0,05:00,113.0,19:30,2018,4,25,115,2,1,0
2018-04-26,Panchagarh,33.0,19:30,130.0,17:00,115.0,20:00,2018,4,26,116,3,1,0
2018-04-27,Panchagarh,35.0,19:00,131.0,13:00,115.0,10:00,2018,4,27,117,4,1,1
2018-04-28,Panchagarh,35.0,19:30,130.0,05:00,110.0,19:30,2018,4,28,118,5,1,1
2018-04-29,Panchagarh,30.0,11:00,129.0,04:00,113.0,12:00,2018,4,29,119,6,1,0
2018-04-30,Panchagarh,35.0,19:00,131.0,09:00,109.0,20:00,2018,4,30,120,0,1,0
2018-05-01,Panchagarh,31.0,19:00,138.0,09:00,108.0,19:00,2018,5,1,121,1,1,0
2018-05-02,Panchagarh,31.0,20:00,125.0,03:00,110.0,19:00,2018,5,2,122,2,1,0
2018-05-03,Panchagarh,31.0,19:30,130.0,06:00,110.0,20:00,2018,5,3,123,3,1,0
2018-05-04,Panchagarh,35.0,19:30,125.0,04:00,110.0,19:30,2018,5,4,124,4,1,1
2018-05-05,Panchagarh,32.0,20:00,138.0,06:00,110.0,20:00,2018,5,5,125,5,1,1
2018-05-06,Panchagarh,30.0,19:30,123.0,04:00,102.0,19:30,2018,5,6,126,6,1,0
2018-05-07,Panchagarh,35.0,20:00,124.0,05:00,110.0,19:00,2018,5,7,127,0,1,0
2018-05-08,Panchagarh,36.0,19:30,126.0,03:00,112.0,20:00,2018,5,8,128,1,1,0
2018-05-09,Panchagarh,37.0,20:00,125.0,04:00,111.0,21:00,2018,5,9,129,2,1,0
2018-05-10,Panchagarh,24.0,01:00,132.0,07:00,118.0,01:00,2018,5,10,130,3,1,0
2018-05-11,Panchagarh,20.0,16:00,127.0,21:00,118.0,16:00,2018,5,11,131,4,1,1
2018-05-12,Panchagarh,30.0,07:00,131.0,05:00,107.0,19:30,2018,5,12,132,5,1,1
2018-05-13,Panchagarh,35.0,20:00,123.0,05:00,103.0,19:00,2018,5,13,133,6,1,0
2018-05-14,Panchagarh,34.0,20:00,128.0,05:00,105.0,20:00,2018,5,14,134,0,1,0
2018-05-15,Panchagarh,34.0,19:30,137.0,09:00,112.0,20:00,2018,5,15,135,1,1,0
2018-05-16,Panchagarh,34.0,20:00,139.0,13:00,121.0,20:00,2018,5,16,136,2,1,0
2018-05-17,Panchagarh,32.0,21:00,147.0,05:00,111.0,20:00,2018,5,17,137,3,1,0
2018-05-18,Panchagarh,34.0,19:00,134.0,09:00,106.0,20:00,2018,5,18,138,4,1,1
2018-05-19,Panchagarh,38.0,20:00,125.0,07:00,105.0,20:00,2018,5,19,139,5,1,1
2018-05-20,Panchagarh,36.0,21:00,125.0,05:00,99.0,21:00,2018,5,20,140,6,1,0
2018-05-21,Panchagarh,37.0,19:30,123.0,06:00,98.0,20:00,2018,5,21,141,0,1,0
2018-05-22,Panchagarh,34.0,21:00,127.0,06:00,106.0,20:00,2018,5,22,142,1,1,0
2018-05-23,Panchagarh,38.0,19:30,123.0,05:00,102.0,21:00,2018,5,23,143,2,1,0
2018-05-24,Panchagarh,36.0,21:00,126.0,11:00,103.0,20:00,2018,5,24,144,3,1,0
2018-05-25,Panchagarh,35.0,20:00,127.0,09:00,101.0,20:00,2018,5,25,145,4,1,1
2018-05-26,Panchagarh,36.0,19:30,133.0,06:00,110.0,19:30,2018,5,26,146,5,1,1
2018-05-27,Panchagarh,38.0,20:00,131.0,06:00,106.0,21:00,2018,5,27,147,6,1,0
2018-05-28,Panchagarh,34.0,21:00,135.0,08:00,102.0,21:00,2018,5,28,148,0,1,0
2018-05-29,Panchagarh,30.0,18:30,138.0,02:00,118.0,19:00,2018,5,29,149,1,1,0
2018-05-30,Panchagarh,34.0,19:30,134.0,05:00,108.0,21:00,2018,5,30,150,2,1,0
2018-05-31,Panchagarh,34.0,19:30,126.0,06:00,100.0,21:00,2018,5,31,151,3,1,0
2018-06-01,Panchagarh,36.0,21:00,125.0,07:00,106.0,21:00,2018,6,1,152,4,0,1
2018-06-02,Panchagarh,38.0,20:00,129.0,07:00,110.0,20:00,2018,6,2,153,5,0,1
2018-06-03,Panchagarh,38.0,20:00,125.0,05:00,102.0,19:30,2018,6,3,154,6,0,0
2018-06-04,Panchagarh,34.0,20:00,132.0,09:00,115.0,19:00,2018,6,4,155,0,0,0
2018-06-05,Panchagarh,34.0,20:00,124.0,06:00,104.0,19:30,2018,6,5,156,1,0,0
2018-06-06,Panchagarh,36.0,20:00,125.0,06:00,101.0,20:00,2018,6,6,157,2,0,0
2018-06-07,Panchagarh,36.0,19:30,123.0,07:00,102.0,20:00,2018,6,7,158,3,0,0
2018-06-08,Panchagarh,38.0,20:00,122.0,06:00,99.0,20:00,2018,6,8,159,4,0,1
2018-06-09,Panchagarh,36.0,20:00,127.0,07:00,101.0,21:00,2018,6,9,160,5,0,1
2018-06-10,Panchagarh,32.0,01:00,123.0,07:00,107.0,20:00,2018,6,10,161,6,0,0
2018-06-11,Panchagarh,38.0,19:30,120.0,06:00,107.0,01:00,2018,6,11,162,0,0,0
2018-06-12,Panchagarh,42.0,21:00,127.0,20:00,104.0,19:30,2018,6,12,163,1,0,0
2018-06-13,Panchagarh,38.0,19:30,123.0,10:00,104.0,21:00,2018,6,13,164,2,0,0
2018-06-14,Panchagarh,42.0,20:00,125.0,06:00,105.0,20:00,2018,6,14,165,3,0,0
2018-06-15,Panchagarh,38.0,21:00,127.0,07:00,101.0,19:30,2018,6,15,166,4,0,1
2018-06-16,Panchagarh,34.0,03:00,127.0,20:00,115.0,03:00,2018,6,16,167,5,0,1
2018-06-17,Panchagarh,30.0,20:00,135.0,06:00,111.0,22:00,2018,6,17,168,6,0,0
2018-06-18,Panchagarh,34.0,19:00,132.0,04:00,107.0,21:00,2018,6,18,169,0,0,0
2018-06-19,Panchagarh,36.0,36:00,132.0,08:00,108.0,19:30,2018,6,19,170,1,0,0
2018-06-20,Panchagarh,39.0,20:00,130.0,05:00,108.0,20:00,2018,6,20,171,2,0,0
2018-06-21,Panchagarh,40.0,22:00,128.0,07:00,102.0,20:00,2018,6,21,172,3,0,0
2018-06-22,Panchagarh,38.0,19:30,125.0,06:00,100.0,20:00,2018,6,22,173,4,0,1
2018-06-23,Panchagarh,40.0,01:00,128.0,05:00,101.0,01:00,2018,6,23,174,5,0,1
2018-06-24,Panchagarh,38.0,19:30,120.0,05:00,99.0,19:30,2018,6,24,175,6,0,0
2018-06-25,Panchagarh,38.0,19:30,125.0,06:00,100.0,21:00,2018,6,25,176,0,0,0
2018-06-26,Panchagarh,38.0,20:00,125.0,04:00,101.0,20:00,2018,6,26,177,1,0,0
2018-06-27,Panchagarh,38.0,21:00,125.0,07:00,102.0,19:30,2018,6,27,178,2,0,0
2018-06-28,Panchagarh,40.0,20:00,123.0,06:00,105.0,21:00,2018,6,28,179,3,0,0
2018-06-29,Panchagarh,40.0,21:00,123.0,06:00,102.0,21:00,2018,6,29,180,4,0,1
2018-06-30,Panchagarh,32.0,01:00,119.0,08:00,103.0,19:30,2018,6,30,181,5,0,1
2018-07-01,Panchagarh,38.0,19:30,122.0,17:00,96.0,20:00,2018,7,1,182,6,0,0
2018-07-02,Panchagarh,38.0,20:00,127.0,12:00,108.0,19:30,2018,7,2,183,0,0,0
2018-07-03,Panchagarh,36.0,20:00,123.0,06:00,99.0,21:00,2018,7,3,184,1,0,0
2018-07-04,Panchagarh,38.0,19:30,126.0,06:00,100.0,20:00,2018,7,4,185,2,0,0
2018-07-05,Panchagarh,38.0,18:30,128.0,07:00,103.0,19:30,2018,7,5,186,3,0,0
2018-07-06,Panchagarh,39.0,20:00,125.0,06:00,101.0,20:00,2018,7,6,187,4,0,1
2018-07-07,Panchagarh,34.0,20:00,125.0,06:00,98.0,21:00,2018,7,7,188,5,0,1
2018-07-08,Panchagarh,38.0,21:00,119.0,18:30,95.0,19:30,2018,7,8,189,6,0,0
2018-07-09,Panchagarh,34.0,20:00,122.0,19:00,96.0,19:30,2018,7,9,190,0,0,0
2018-07-10,Panchagarh,38.0,20:00,120.0,09:00,96.0,19:30,2018,7,10,191,1,0,0
2018-07-11,Panchagarh,38.0,19:30,118.0,09:00,96.0,21:00,2018,7,11,192,2,0,0
2018-07-12,Panchagarh,36.0,19:30,118.0,18:30,96.0,20:00,2018,7,12,193,3,0,0
2018-07-13,Panchagarh,34.0,20:00,118.0,18:00,96.0,20:00,2018,7,13,194,4,0,1
2018-07-14,Panchagarh,36.0,19:30,120.0,16:00,100.0,19:30,2018,7,14,195,5,0,1
2018-07-15,Panchagarh,38.0,20:00,118.0,10:00,97.0,19:30,2018,7,15,196,6,0,0
2018-07-16,Panchagarh,36.0,21:00,120.0,09:00,93.0,21:00,2018,7,16,197,0,0,0
2018-07-17,Panchagarh,36.0,01:00,140.0,07:00,95.0,21:00,2018,7,17,198,1,0,0
2018-07-18,Panchagarh,36.0,20:00,115.0,19:00,95.0,20:00,2018,7,18,199,2,0,0
2018-07-19,Panchagarh,40.0,19:30,118.0,06:00,101.0,19:30,2018,7,19,200,3,0,0
2018-07-20,Panchagarh,34.0,01:00,120.0,17:00,102.0,01:00,2018,7,20,201,4,0,1
2018-07-21,Panchagarh,36.0,02:00,125.0,18:00,101.0,02:00,2018,7,21,202,5,0,1
2018-07-22,Panchagarh,28.0,01:00,116.0,18:00,100.0,19:30,2018,7,22,203,6,0,0
2018-07-23,Panchagarh,38.0,19:30,121.0,09:00,100.0,20:00,2018,7,23,204,0,0,0
2018-07-24,Panchagarh,30.0,18:30,112.0,17:00,86.0,19:00,2018,7,24,205,1,0,0
2018-07-25,Panchagarh,32.0,19:00,115.0,06:00,98.0,21:00,2018,7,25,206,2,0,0
2018-07-26,Panchagarh,34.0,21:00,116.0,18:00,92.0,21:00,2018,7,26,207,3,0,0
2018-07-27,Panchagarh,34.0,21:00,112.0,18:00,90.0,21:00,2018,7,27,208,4,0,1
2018-07-29,Panchagarh,36.0,17:00,116.0,06:00,99.0,21:00,2018,7,29,210,6,0,0
2018-07-30,Panchagarh,28.0,18:30,116.0,18:00,96.0,21:00,2018,7,30,211,0,0,0
2018-07-31,Panchagarh,30.0,18:00,116.0,06:00,95.0,01:00,2018,7,31,212,1,0,0
2018-08-01,Panchagarh,30.0,19:00,116.0,06:00,87.0,21:00,2018,8,1,213,2,0,0
2018-08-02,Panchagarh,36.0,20:00,114.0,06:00,93.0,19:00,2018,8,2,214,3,0,0
2018-08-03,Panchagarh,31.0,01:00,118.0,07:00,99.0,01:00,2018,8,3,215,4,0,1
2018-08-04,Panchagarh,30.0,20:00,118.0,10:00,92.0,21:00,2018,8,4,216,5,0,1
2018-08-05,Panchagarh,30.0,01:00,115.0,07:00,93.0,19:00,2018,8,5,217,6,0,0
2018-08-07,Panchagarh,30.0,18:00,118.0,04:00,90.0,19:00,2018,8,7,219,1,0,0
2018-08-08,Panchagarh,31.0,19:00,119.0,07:00,89.0,20:00,2018,8,8,220,2,0,0
2018-08-09,Panchagarh,32.0,18:30,110.0,18:00,85.0,19:00,2018,8,9,221,3,0,0
2018-08-10,Panchagarh,36.0,19:00,110.0,18:30,82.0,20:00,2018,8,10,222,4,0,1
2018-08-11,Panchagarh,32.0,18:30,117.0,10:00,84.0,19:30,2018,8,11,223,5,0,1
2018-08-12,Panchagarh,32.0,19:00,111.0,11:00,86.0,21:00,2018,8,12,224,6,0,0
2018-08-13,Panchagarh,32.0,18:30,114.0,08:00,86.0,19:00,2018,8,13,225,0,0,0
2018-08-14,Panchagarh,32.0,03:00,115.0,09:00,90.0,19:00,2018,8,14,226,1,0,0
2018-08-15,Panchagarh,32.0,03:00,115.0,09:00,90.0,19:00,2018,8,15,227,2,0,0
2018-08-16,Panchagarh,30.0,19:00,112.0,18:00,86.0,20:00,2018,8,16,228,3,0,0
2018-08-17,Panchagarh,30.0,07:00,109.0,09:00,86.0,01:00,2018,8,17,229,4,0,1
2018-08-18,Panchagarh,30.0,18:30,112.0,14:00,87.0,01:00,2018,8,18,230,5,0,1
2018-08-19,Panchagarh,30.0,06:00,100.0,18:00,90.0,18:30,2018,8,19,231,6,0,0
2018-08-20,Panchagarh,28.0,15:00,110.0,08:00,90.0,07:00,2018,8,20,232,0,0,0
2018-08-21,Panchagarh,32.0,19:00,126.0,07:00,85.0,01:00,2018,8,21,233,1,0,0
2018-08-22,Panchagarh,28.0,18:30,115.0,18:00,99.0,13:00,2018,8,22,234,2,0,0
2018-08-23,Panchagarh,32.0,19:00,120.0,10:00,98.0,01:00,2018,8,23,235,3,0,0
2018-08-24,Panchagarh,30.0,18:30,122.0,18:00,100.0,21:00,2018,8,24,236,4,0,1
2018-08-25,Panchagarh,28.0,19:30,120.0,05:00,103.0,21:00,2018,8,25,237,5,0,1
2018-08-26,Panchagarh,36.0,19:00,119.0,06:00,95.0,21:00,2018,8,26,238,6,0,0
2018-08-27,Panchagarh,31.0,21:00,113.0,08:00,90.0,19:30,2018,8,27,239,0,0,0
2018-08-28,Panchagarh,34.0,19:00,113.0,18:00,94.0,01:00,2018,8,28,240,1,0,0
2018-08-29,Panchagarh,30.0,18:30,114.0,18:00,96.0,18:30,2018,8,29,241,2,0,0
2018-08-30,Panchagarh,32.0,18:30,108.0,18:00,89.0,01:00,2018,8,30,242,3,0,0
2018-09-01,Panchagarh,33.0,18:30,117.0,07:00,87.0,19:00,2018,9,1,244,5,0,1
2018-09-02,Panchagarh,32.0,18:30,111.0,16:00,92.0,01:00,2018,9,2,245,6,0,0
2018-09-03,Panchagarh,34.0,18:30,115.0,09:00,88.0,19:00,2018,9,3,246,0,0,0
2018-09-04,Panchagarh,34.0,18:30,115.0,18:00,92.0,19:00,2018,9,4,247,1,0,0
2018-09-05,Panchagarh,34.0,18:30,118.0,08:00,95.0,01:00,2018,9,5,248,2,0,0
2018-09-06,Panchagarh,32.0,18:30,109.0,18:00,88.0,01:00,2018,9,6,249,3,0,0
2018-09-07,Panchagarh,30.0,18:30,114.0,18:00,89.0,01:00,2018,9,7,250,4,0,1
2018-09-08,Panchagarh,31.0,18:30,118.0,18:00,86.0,19:00,2018,9,8,251,5,0,1
2018-09-09,Panchagarh,,00:00,107.0,18:00,85.0,21:00,2018,9,9,252,6,0,0
2018-09-10,Panchagarh,,00:00,107.0,18:00,83.0,01:00,2018,9,10,253,0,0,0
2018-09-11,Panchagarh,,00:00,120.0,16:00,86.0,19:00,2018,9,11,254,1,0,0
2018-09-12,Panchagarh,,00:00,117.0,06:00,96.0,12:00,2018,9,12,255,2,0,0
2018-09-13,Panchagarh,,00:00,122.0,06:00,94.0,19:00,2018,9,13,256,3,0,0
2018-09-14,Panchagarh,,00:00,122.0,07:00,95.0,20:00,2018,9,14,257,4,0,1
2018-09-15,Panchagarh,34.0,19:30,122.0,07:00,95.0,20:00,2018,9,15,258,5,0,1
2018-09-16,Panchagarh,38.0,19:30,123.0,07:00,96.0,20:00,2018,9,16,259,6,0,0
2018-09-17,Panchagarh,38.0,19:00,122.0,07:00,93.0,19:00,2018,9,17,260,0,0,0
2018-09-18,Panchagarh,36.0,18:30,117.0,06:00,95.0,18:30,2018,9,18,261,1,0,0
2018-09-19,Panchagarh,38.0,21:00,118.0,07:00,100.0,21:00,2018,9,19,262,2,0,0
2018-09-20,Panchagarh,40.0,18:30,117.0,06:00,89.0,20:00,2018,9,20,263,3,0,0
2018-09-21,Panchagarh,40.0,20:00,129.0,09:00,98.0,18:30,2018,9,21,264,4,0,1
2018-09-22,Panchagarh,44.0,19:00,124.0,08:00,102.0,20:00,2018,9,22,265,5,0,1
2018-09-23,Panchagarh,36.0,20:00,120.0,08:00,96.0,20:00,2018,9,23,266,6,0,0
2018-09-24,Panchagarh,40.0,18:30,119.0,06:00,97.0,20:00,2018,9,24,267,0,0,0
2018-09-25,Panchagarh,38.0,18:30,121.0,05:00,92.0,20:00,2018,9,25,268,1,0,0
2018-09-26,Panchagarh,38.0,19:30,119.0,08:00,94.0,20:00,2018,9,26,269,2,0,0
2018-09-27,Panchagarh,38.0,18:30,117.0,06:00,94.0,18:30,2018,9,27,270,3,0,0
2018-09-28,Panchagarh,36.0,18:30,121.0,06:00,94.0,19:30,2018,9,28,271,4,0,1
2018-09-29,Panchagarh,40.0,18:30,122.0,06:00,94.0,19:00,2018,9,29,272,5,0,1
2018-09-30,Panchagarh,38.0,19:30,120.0,05:00,91.0,20:00,2018,9,30,273,6,0,0
2018-10-01,Panchagarh,40.0,19:30,121.0,06:00,91.0,20:00,2018,10,1,274,0,0,0
2018-10-02,Panchagarh,38.0,18:30,120.0,06:00,95.0,18:30,2018,10,2,275,1,0,0
2018-10-03,Panchagarh,40.0,18:30,117.0,05:00,95.0,20:00,2018,10,3,276,2,0,0
2018-10-04,Panchagarh,40.0,19:00,122.0,06:00,97.0,20:00,2018,10,4,277,3,0,0
2018-10-05,Panchagarh,40.0,18:30,122.0,06:00,98.0,19:30,2018,10,5,278,4,0,1
2018-10-06,Panchagarh,38.0,19:30,122.0,06:00,97.0,20:00,2018,10,6,279,5,0,1
2018-10-07,Panchagarh,38.0,18:00,121.0,05:00,97.0,20:00,2018,10,7,280,6,0,0
2018-10-08,Panchagarh,40.0,18:30,123.0,05:00,97.0,18:00,2018,10,8,281,0,0,0
2018-10-09,Panchagarh,36.0,18:00,122.0,05:00,101.0,19:30,2018,10,9,282,1,0,0
